id,role,name,affiliation
1,主査,渡邉 真也,室蘭工業大学
2,幹事,笹山 琴由,三菱電機ビルソリューションズ株式会社
3,幹事,関嶋 政和,東京工業大学
4,幹事,花田 良子,関西大学
5,幹事,林 亮子,金沢工業大学
6,幹事,吉本 潤一郎,藤田医科大学
7,幹事,松田 健,阪南大学
8,幹事,高田 雅美,奈良女子大学
9,運営委員,石川 由羽,京都女子大学
10,運営委員,大久保 好章,北海道教育大学
11,運営委員,加藤 毅,群馬大学
12,運営委員,小谷野 仁,農研機構
13,運営委員,佐藤 寛之,電気通信大学
14,運営委員,鈴木 藍雅,大成建設株式会社
15,運営委員,安尾 信明,東京工業大学
16,運営委員,国田 勝行,藤田医科大学
17,運営委員,諏訪 博彦,奈良先端科学技術大学院大学
